"id","name","address","city","primary_cuisine","secondary_cuisine","opening_time","closing_time","rating","cost_for_two"
1,Spice Bazaar,"123 MG Road",Mumbai,Indian,Chinese,"10:00:00","22:00:00",4.2,800
2,Tandoori Delight,"456 Park Street",Delhi,Indian,Mughlai,"11:00:00","23:00:00",4.5,1000
3,Curry House,"789 Residency Road",Bangalore,Indian,South Indian,"09:00:00","21:30:00",4.0,600
4,Punjab Grill,"101 Connaught Place",Delhi,Punjabi,North Indian,"12:00:00","00:00:00",4.7,1200
5,South Spice,"202 Brigade Road",Bangalore,South Indian,Chinese,"10:30:00","23:30:00",4.4,700
6,Mumbai Masala,"303 Andheri West",Mumbai,Maharashtrian,Seafood,"11:30:00","22:30:00",4.3,900
7,Saravana Bhavan,"301 Brigade Road",Bangalore,South Indian,Vegetarian,"08:00:00","23:30:00",4.6,400
8,Rasoi Express,"402 MG Road",Mumbai,Indian,Fast Food,"09:30:00","21:00:00",4.3,350
9,Delhi Darbar,"503 Connaught Place",Delhi,Mughlai,North Indian,"11:00:00","00:30:00",4.4,1100
10,Paradise Biryani,"604 Residency Road",Bangalore,Hyderabadi,Biryani,"12:00:00","23:45:00",4.5,900
11,Chaiwala,"705 Park Street",Kolkata,Tea,Snacks,"07:30:00","22:00:00",4.0,100
12,Puranmal,"806 Andheri West",Mumbai,Vegetarian,Sweets,"10:00:00","21:30:00",4.2,250
